fecha;servicios
1/04/2020;906
2/04/2020;1013
3/04/2020;1063
4/04/2020;953
5/04/2020;975
6/04/2020;1187
7/04/2020;1132
8/04/2020;1158
9/04/2020;917
10/04/2020;887
11/04/2020;992
12/04/2020;866
13/04/2020;976
14/04/2020;943
15/04/2020;1029
16/04/2020;1055
17/04/2020;983
18/04/2020;918
19/04/2020;828
20/04/2020;1065
21/04/2020;963
22/04/2020;964
23/04/2020;1012
24/04/2020;1042
25/04/2020;941
26/04/2020;963
27/04/2020;1213
28/04/2020;1093
29/04/2020;1094
30/04/2020;1108
1/05/2020;942
2/05/2020;1019
3/05/2020;1010
4/05/2020;1122
5/05/2020;1156
6/05/2020;1142
7/05/2020;1129
8/05/2020;1106
9/05/2020;1095
10/05/2020;918
11/05/2020;1242
12/05/2020;1171
13/05/2020;1026
14/05/2020;1119
15/05/2020;1138
16/05/2020;1033
17/05/2020;961
18/05/2020;1149
19/05/2020;1057
20/05/2020;1113
21/05/2020;1139
22/05/2020;1108
23/05/2020;1032
24/05/2020;1011
25/05/2020;1088
26/05/2020;1214
27/05/2020;1026
28/05/2020;971
29/05/2020;1025
30/05/2020;890
31/05/2020;919
1/06/2020;1082
2/06/2020;1079
3/06/2020;1060
4/06/2020;1163
5/06/2020;1038
6/06/2020;996
7/06/2020;1048
8/06/2020;1203
9/06/2020;1128
10/06/2020;1023
11/06/2020;1064
12/06/2020;993
13/06/2020;1045
14/06/2020;991
15/06/2020;1020
16/06/2020;1216
17/06/2020;1102
18/06/2020;1090
19/06/2020;1043
20/06/2020;989
21/06/2020;928
22/06/2020;1094
23/06/2020;1254
24/06/2020;1189
25/06/2020;1176
26/06/2020;1086
27/06/2020;1094
28/06/2020;933
29/06/2020;1035
30/06/2020;1277
1/07/2020;1144
2/07/2020;1043
3/07/2020;1133
4/07/2020;946
5/07/2020;1007
6/07/2020;1237
7/07/2020;1178
8/07/2020;1082
9/07/2020;1191
10/07/2020;1220
11/07/2020;1050
12/07/2020;1069
13/07/2020;1409
14/07/2020;1114
15/07/2020;1257
16/07/2020;1224
17/07/2020;1152
18/07/2020;1165
